"","start.year","start.month","start.dayofweek","start.hour","Member.type","total.rides","avg.duration"
"412",2015,"November","Monday",21,"Casual",15,23.22
"413",2015,"November","Monday",21,"Member",268,9.48022388059701
"414",2015,"November","Monday",22,"Casual",14,27.0121428571429
"415",2015,"November","Monday",22,"Member",169,9.5298224852071
"416",2015,"November","Monday",23,"Casual",5,60.984
"417",2015,"November","Monday",23,"Member",70,11.3908571428571
"418",2015,"November","Saturday",0,"Casual",20,36.704
"419",2015,"November","Saturday",0,"Member",118,9.92449152542373
"420",2015,"November","Saturday",1,"Casual",13,14.1861538461538
"421",2015,"November","Saturday",1,"Member",89,12.208202247191
"422",2015,"November","Saturday",2,"Casual",14,20.2135714285714
"423",2015,"November","Saturday",2,"Member",43,10.153023255814
"424",2015,"November","Saturday",3,"Casual",4,34.0275
"425",2015,"November","Saturday",3,"Member",24,13.9579166666667
"426",2015,"November","Saturday",4,"Casual",1,23.17
"427",2015,"November","Saturday",4,"Member",11,10.7109090909091
"428",2015,"November","Saturday",5,"Casual",1,22.92
"429",2015,"November","Saturday",5,"Member",14,11.3778571428571
"430",2015,"November","Saturday",6,"Casual",7,36.6485714285714
"431",2015,"November","Saturday",6,"Member",29,10.9648275862069
"432",2015,"November","Saturday",7,"Casual",6,21.4733333333333
"433",2015,"November","Saturday",7,"Member",102,10.558137254902
"434",2015,"November","Saturday",8,"Casual",47,28.4821276595745
"435",2015,"November","Saturday",8,"Member",250,12.9282
"436",2015,"November","Saturday",9,"Casual",99,34.4156565656566
"437",2015,"November","Saturday",9,"Member",356,10.7548595505618
"438",2015,"November","Saturday",10,"Casual",170,35.1871764705882
"439",2015,"November","Saturday",10,"Member",437,11.8501601830664
"440",2015,"November","Saturday",11,"Casual",196,37.4832142857143
"441",2015,"November","Saturday",11,"Member",455,11.9322857142857
"442",2015,"November","Saturday",12,"Casual",257,51.0593385214008
"443",2015,"November","Saturday",12,"Member",487,12.8803080082136
"444",2015,"November","Saturday",13,"Casual",264,37.1675378787879
"445",2015,"November","Saturday",13,"Member",448,13.0388839285714
"446",2015,"November","Saturday",14,"Casual",342,43.5956725146199
"447",2015,"November","Saturday",14,"Member",520,12.8367692307692
"448",2015,"November","Saturday",15,"Casual",344,43.4704941860465
"449",2015,"November","Saturday",15,"Member",523,12.8755066921606
"450",2015,"November","Saturday",16,"Casual",275,35.8644727272727
"451",2015,"November","Saturday",16,"Member",549,12.1428415300546
"452",2015,"November","Saturday",17,"Casual",207,26.8347826086957
"453",2015,"November","Saturday",17,"Member",462,11.5954978354978
"454",2015,"November","Saturday",18,"Casual",88,34.3478409090909
"455",2015,"November","Saturday",18,"Member",400,12.84035
"456",2015,"November","Saturday",19,"Casual",96,28.34375
"457",2015,"November","Saturday",19,"Member",320,9.53209375
"458",2015,"November","Saturday",20,"Casual",50,23.9562
"459",2015,"November","Saturday",20,"Member",250,9.89692
"460",2015,"November","Saturday",21,"Casual",77,24.5027272727273
"461",2015,"November","Saturday",21,"Member",240,9.518875
"462",2015,"November","Saturday",22,"Casual",50,28.961
"463",2015,"November","Saturday",22,"Member",195,10.4317435897436
"464",2015,"November","Saturday",23,"Casual",27,26.2155555555556
"465",2015,"November","Saturday",23,"Member",176,10.3719318181818
"466",2015,"November","Sunday",0,"Casual",20,14.5805
"467",2015,"November","Sunday",0,"Member",176,10.0666477272727
"468",2015,"November","Sunday",1,"Casual",34,17.2764705882353
"469",2015,"November","Sunday",1,"Member",165,9.42175757575758
